event_id,event_type,event_date,window_start,window_end,source_name,source_url_or_note,generated_without_return_data,created_at_utc
month_end_2015_01,month_end,2015-01-30,2015-01-23,2015-02-06,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2015_02,month_end,2015-02-27,2015-02-20,2015-03-06,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2015_03,month_end,2015-03-31,2015-03-24,2015-04-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2015_q1,quarter_end,2015-03-31,2015-03-24,2015-04-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2015_04,month_end,2015-04-30,2015-04-23,2015-05-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2015_05,month_end,2015-05-29,2015-05-21,2015-06-05,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2015_06,month_end,2015-06-30,2015-06-23,2015-07-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2015_q2,quarter_end,2015-06-30,2015-06-23,2015-07-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2015_07,month_end,2015-07-31,2015-07-24,2015-08-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2015_08,month_end,2015-08-31,2015-08-24,2015-09-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2015_09,month_end,2015-09-30,2015-09-23,2015-10-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2015_q3,quarter_end,2015-09-30,2015-09-23,2015-10-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2015_10,month_end,2015-10-30,2015-10-23,2015-11-06,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2015_11,month_end,2015-11-30,2015-11-20,2015-12-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2015_12,month_end,2015-12-31,2015-12-23,2016-01-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2015_q4,quarter_end,2015-12-31,2015-12-23,2016-01-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2016_01,month_end,2016-01-29,2016-01-22,2016-02-05,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2016_02,month_end,2016-02-29,2016-02-22,2016-03-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2016_03,month_end,2016-03-31,2016-03-23,2016-04-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2016_q1,quarter_end,2016-03-31,2016-03-23,2016-04-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2016_04,month_end,2016-04-29,2016-04-22,2016-05-06,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2016_05,month_end,2016-05-31,2016-05-23,2016-06-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2016_06,month_end,2016-06-30,2016-06-23,2016-07-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2016_q2,quarter_end,2016-06-30,2016-06-23,2016-07-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2016_07,month_end,2016-07-29,2016-07-22,2016-08-05,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2016_08,month_end,2016-08-31,2016-08-24,2016-09-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2016_09,month_end,2016-09-30,2016-09-23,2016-10-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2016_q3,quarter_end,2016-09-30,2016-09-23,2016-10-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2016_10,month_end,2016-10-31,2016-10-24,2016-11-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2016_11,month_end,2016-11-30,2016-11-22,2016-12-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2016_12,month_end,2016-12-30,2016-12-22,2017-01-09,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2016_q4,quarter_end,2016-12-30,2016-12-22,2017-01-09,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2017_01,month_end,2017-01-31,2017-01-24,2017-02-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2017_02,month_end,2017-02-28,2017-02-21,2017-03-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2017_03,month_end,2017-03-31,2017-03-24,2017-04-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2017_q1,quarter_end,2017-03-31,2017-03-24,2017-04-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2017_04,month_end,2017-04-28,2017-04-21,2017-05-05,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2017_05,month_end,2017-05-31,2017-05-23,2017-06-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
